CNPE;Taux_redevance;N_sim;NPV_mean_M€;NPV_median_M€;NPV_std_M€;NPV_SE_M€;NPV_2.5_percentile_M€;NPV_97.5_percentile_M€;Probability_NPV_positive;ROI_mean;ROI_std;CAPEX;OPEX;REDEVANCE;LOSS_PROD
Nogent;17560;10000;140.88712068505077;108.4436400609218;131.90735121482373;1.3190735121482373;-42.238347581121694;471.8000640997428;0.9091;1.804015918848186;1.9326145289302117;100.22735488916318;1.1775685101279083;12.980352;0.4493108287166121
Nogent;18060;10000;147.45889892457103;114.86160202615339;134.86576897575455;1.3486576897575455;-43.708278508353246;483.93298137490615;0.9128;1.886506293028302;2.001613047966707;100.69376272938706;1.1819705739148398;13.349952;0.452459475625958
Nogent;18560;10000;151.10734342080642;116.86078687829243;135.55735071260693;1.3555735071260695;-38.564651465006285;486.04038187457985;0.922;1.9285174051975065;2.0328140948527467;100.70409809579048;1.1849240619539883;13.719552;0.4500274305024618
Nogent;19060;10000;157.31774195386618;122.67174985953847;138.4679921684106;1.384679921684106;-35.05092878426053;501.5891313337737;0.9262;2.02029496007282;2.0937087366737823;100.02202020332223;1.1813090363093153;14.089152;0.4469205964525661
Nogent;19560;10000;162.71410294838284;128.21659001244612;140.8921416842901;1.408921416842901;-35.046050928349224;513.5647031697068;0.9334;2.086574102385488;2.1350981272622875;99.9868412338909;1.1753408431479335;14.458752;0.44988041167141524
Nogent;20060;10000;163.7192979302441;128.63004474954283;142.26490458281793;1.4226490458281795;-33.233982695933506;515.9602765587529;0.9303;2.090328082213261;2.143967205315046;100.46446028976641;1.1825267282525087;14.828352;0.45108494167250407
Nogent;20560;10000;169.2293383977635;133.21470054073453;143.63197800387772;1.4363197800387772;-28.73938646828625;524.6981625359681;0.9396;2.1422476973117655;2.13819235700258;100.42043354638703;1.1905661160488334;15.197952;0.44943634319728676
Nogent;21060;10000;174.49972777577923;137.48812229823235;144.78469516773367;1.4478469516773367;-22.494176645572974;528.6952225783864;0.9456;2.1935656169550266;2.1790865561944495;100.46648994659947;1.1903012734694167;15.567552;0.44946940503178734
Nogent;21560;10000;180.23977832846342;141.5928512546852;148.3479987189493;1.4834799871894928;-21.10487014961594;548.5813311576213;0.9496;2.272132560826244;2.242149764249791;100.10214495020007;1.185080406165999;15.937152;0.4499017132707959
Nogent;22060;10000;184.51775016573444;145.43780507356252;149.79146895404565;1.4979146895404565;-19.168442327570656;560.1724093608426;0.953;2.3162215294944275;2.242788237256879;100.17148347889267;1.1842938907274676;16.306752;0.44859009916118087
Nogent;22560;10000;185.1890989073481;145.14629014617807;151.01102068215198;1.5101102068215198;-18.078956621680714;563.5908095430289;0.9563;2.333272614658984;2.2758495812485036;100.36779953837335;1.1923337114173358;16.676352;0.4501474015750502
Nogent;23060;10000;195.59941397173344;154.16086097467002;155.03962681744383;1.5503962681744383;-14.887064768567356;579.7842926371266;0.9595;2.469806114439737;2.3793404477360824;99.94660644603138;1.1825326916066798;17.045952;0.45287010412026574
Nogent;23560;10000;198.242453262651;156.95956454027103;157.0101922038784;1.570101922038784;-11.699239096169249;590.1061875047569;0.964;2.499090198751523;2.4149662245989267;100.0431356861521;1.173368737040697;17.415552;0.45072162652297537
Nogent;24060;10000;205.49252567213856;162.31988159533387;160.68299646358162;1.6068299646358162;-6.694299193952473;603.8804883931642;0.9676;2.570113048964665;2.462845439460085;100.34134137004042;1.1927875928044827;17.785152;0.45241567713306413
Nogent;24560;10000;208.73666926598048;165.71128759622243;159.82111066851203;1.5982111066851203;-5.991489048358268;601.711190830307;0.9699;2.596161179963753;2.411745514259179;100.29238090380088;1.1791199716436616;18.154752;0.44832199522216143
Nogent;25060;10000;213.19351194458116;167.38668891094548;161.4717076452674;1.614717076452674;1.58919101754428;616.3090634322363;0.9767;2.667141586342746;2.4685272106404623;99.65024385370658;1.1653302065887656;18.524352;0.4497603702250541
Nogent;25560;10000;220.97936455929093;174.71089342854052;166.47819096068952;1.6647819096068952;-0.8063321259772057;632.6244769025075;0.974;2.7660894926894755;2.5681162885642452;99.90547799166207;1.1760443738657071;18.893952;0.45298780353018475
Nogent;26060;10000;224.61311787646474;177.50721314175976;168.94960173820033;1.6894960173820033;1.3299280945417695;645.2264762666966;0.976;2.8277438136469866;2.641141069540775;99.96550008172763;1.1719082372751917;19.263552;0.452137514676369
Nogent;26560;10000;230.87886064810317;181.85360513455308;169.38106522664793;1.6938106522664793;7.454703089491561;650.5504819050391;0.9804;2.877836682439118;2.63817960887002;99.87342484536698;1.1791034138223904;19.633152;0.4517712954717935
Nogent;27060;10000;234.09902594026045;185.71575989713787;171.56032894447316;1.7156032894447315;7.152949984639331;658.8099851384634;0.9801;2.9216144146580345;2.6620900305651793;100.1719084029458;1.1685680212418699;20.002752;0.4487295622696437
Nogent;27560;10000;238.14683662798828;189.6051125922635;172.09276811878118;1.7209276811878118;11.588142501533168;666.4444717697484;0.9827;2.9560955977676326;2.6653529708280157;100.26175859412974;1.1704542989449378;20.372352;0.4521248335379457
Nogent;28060;10000;244.90605868300366;193.12834088356342;177.12621224804928;1.7712621224804928;16.106476800751903;683.9706573135585;0.9855;3.0242965216011797;2.725502842948071;100.45837663225053;1.1753652002199801;20.741952;0.4510509881029935
Nogent;28560;10000;246.1547006379909;196.30061864705175;177.77029684267367;1.7777029684267365;12.582609943432606;687.7769600577079;0.9834;3.0432129621220256;2.745631948377709;100.96249795777894;1.196058996496117;21.111552;0.45116501945008225
Nogent;29060;10000;253.590195212733;200.9597044215216;179.48627113669386;1.7948627113669386;19.709272557722226;696.7120616805838;0.9879;3.149217617759718;2.7734893783897783;99.25384420010204;1.1714586150362558;21.481152;0.4485532025475662
